id,WattHour
15001,70
15002,80
15003,70
15004,70
15005,70
15006,70
15007,70
15008,70
15009,70
15010,70
15011,70
15012,70
15013,70
15014,70
15015,70
15016,70
15017,70
15018,80
15019,60
15020,60
15021,60
15022,60
15023,60
15024,60
15025,60
15026,60
15027,50
15028,50
15029,50
15030,50
15031,50
15032,50
15033,50
15034,50
15035,50
15036,50
15037,50
15038,50
15039,50
15040,50
15041,50
15042,50
15043,50
15044,50
15045,50
15046,50
15047,50
15048,50
15049,60
15050,60
15051,60
15052,80
15053,70
15054,70
15055,80
15056,80
15057,80
15058,70
15059,70
15060,70
15061,70
15062,70
15063,70
15064,80
15065,80
15066,80
15067,80
15068,70
15069,80
15070,80
15071,80
15072,80
15073,80
15074,80
15075,80
15076,80
15077,80
15078,80
15079,70
15080,70
15081,80
15082,80
15083,80
15084,80
15085,80
15086,80
15087,80
15088,80
15089,80
15090,80
15091,80
15092,80
15093,80
15094,80
15095,80
15096,80
15097,80
15098,70
15099,70
15100,70
15101,70
15102,70
15103,70
15104,70
15105,70
15106,70
15107,70
15108,70
15109,70
15110,70
15111,80
15112,80
15113,80
15114,80
15115,80
15116,80
15117,80
15118,70
15119,70
15120,70
15121,70
15122,70
15123,70
15124,80
15125,70
15126,80
15127,80
15128,80
15129,90
15130,90
15131,80
15132,80
15133,70
15134,70
15135,70
15136,60
15137,60
15138,60
15139,70
15140,70
15141,70
15142,70
15143,70
15144,70
15145,70
15146,70
15147,60
15148,70
15149,60
15150,60
15151,70
15152,60
15153,60
15154,60
15155,60
15156,60
15157,60
15158,60
15159,60
15160,70
15161,60
15162,60
15163,60
15164,60
15165,70
15166,50
15167,50
15168,50
15169,50
15170,50
15171,50
15172,50
15173,50
15174,50
15175,50
15176,50
15177,50
15178,50
15179,50
15180,50
15181,50
15182,50
15183,50
15184,50
15185,50
15186,50
15187,50
15188,50
15189,50
15190,50
15191,50
15192,50
15193,50
15194,50
15195,50
15196,50
15197,50
15198,50
15199,50
15200,50
15201,50
15202,60
15203,50
15204,60
15205,60
15206,60
15207,60
15208,60
15209,60
15210,60
15211,70
15212,70
15213,70
15214,70
15215,80
15216,80
15217,70
15218,80
15219,80
15220,80
15221,80
15222,70
15223,70
15224,70
15225,70
15226,70
15227,70
15228,70
15229,70
15230,70
15231,70
15232,80
15233,70
15234,70
15235,80
15236,80
15237,70
15238,60
15239,60
15240,60
15241,60
15242,60
15243,70
15244,70
15245,70
15246,60
15247,60
15248,60
15249,60
15250,60
15251,60
15252,60
15253,60
15254,60
15255,70
15256,70
15257,70
15258,70
15259,70
15260,70
15261,60
15262,60
15263,70
15264,70
15265,70
15266,70
15267,70
15268,60
15269,70
15270,90
15271,100
15272,100
15273,100
15274,100
15275,80
15276,70
15277,70
15278,70
15279,80
15280,80
15281,80
15282,80
15283,80
15284,80
15285,80
15286,80
15287,80
15288,90
15289,80
15290,80
15291,80
15292,80
15293,80
15294,80
15295,80
15296,70
15297,70
15298,70
15299,70
15300,60
15301,60
15302,60
15303,60
15304,60
15305,60
15306,60
15307,50
15308,50
15309,50
15310,50
15311,50
15312,50
15313,50
15314,50
15315,50
15316,50
15317,50
15318,50
15319,50
15320,50
15321,50
15322,50
15323,50
15324,50
15325,50
15326,50
15327,60
15328,60
15329,60
15330,60
15331,60
15332,60
15333,60
15334,60
15335,60
15336,60
15337,60
15338,60
15339,50
15340,60
15341,50
15342,50
15343,50
15344,50
15345,70
15346,50
15347,50
15348,90
15349,80
15350,90
15351,80
15352,80
15353,80
15354,80
15355,70
15356,70
15357,80
15358,70
15359,70
15360,70
15361,70
15362,80
15363,90
15364,80
15365,80
15366,80
15367,70
15368,70
15369,70
15370,80
15371,70
15372,70
15373,80
15374,70
15375,70
15376,90
15377,80
15378,80
15379,90
15380,80
15381,80
15382,90
15383,90
15384,80
15385,90
15386,80
15387,80
15388,80
15389,80
15390,70
15391,70
15392,70
15393,70
15394,70
15395,70
15396,70
15397,70
15398,70
15399,70
15400,70
15401,70
15402,70
15403,60
15404,60
15405,60
15406,70
15407,60
15408,60
15409,70
15410,70
15411,60
15412,60
15413,60
15414,60
15415,60
15416,60
15417,90
15418,90
15419,60
15420,60
15421,60
15422,50
15423,50
15424,50
15425,50
15426,50
15427,50
15428,50
15429,50
15430,50
15431,50
15432,50
15433,70
15434,60
15435,60
15436,50
15437,50
15438,60
15439,50
15440,50
15441,60
15442,50
15443,60
15444,50
15445,50
15446,60
15447,50
15448,60
15449,50
15450,50
15451,50
15452,50
15453,50
15454,50
15455,50
15456,50
15457,50
15458,50
15459,50
15460,50
15461,50
15462,50
15463,50
15464,50
15465,50
15466,50
15467,50
15468,50
15469,50
15470,50
15471,50
15472,50
15473,50
15474,50
15475,50
15476,50
15477,50
15478,50
15479,40
15480,40
15481,50
15482,40
15483,40
15484,40
15485,40
15486,50
15487,40
15488,50
15489,50
15490,50
15491,50
15492,50
15493,50
15494,50
15495,50
15496,50
15497,50
15498,50
15499,50
15500,60
15501,60
15502,60
15503,60
15504,60
15505,60
15506,70
15507,80
15508,80
15509,80
15510,80
15511,80
15512,90
15513,90
15514,90
15515,90
15516,90
15517,90
15518,90
15519,80
15520,70
15521,70
15522,70
15523,70
15524,70
15525,80
15526,110
15527,120
15528,120
15529,110
15530,100
15531,90
15532,90
15533,90
15534,90
15535,90
15536,90
15537,100
15538,90
15539,70
15540,70
15541,70
15542,70
15543,70
15544,70
15545,80
15546,80
15547,80
15548,80
15549,70
15550,80
15551,80
15552,80
15553,80
15554,80
15555,80
15556,80
15557,90
15558,80
15559,110
15560,170
15561,180
15562,180
15563,180
15564,190
15565,190
15566,200
15567,190
15568,190
15569,180
15570,180
15571,170
15572,160
15573,110
15574,90
15575,90
15576,90
15577,90
15578,80
15579,80
15580,80
15581,90
15582,90
15583,90
15584,90
15585,100
15586,100
15587,110
15588,130
15589,140
15590,140
15591,130
15592,140
15593,130
15594,130
15595,60
15596,60
15597,50
15598,50
15599,50
15600,50
15601,50
15602,50
15603,50
15604,50
15605,50
15606,50
15607,50
15608,50
15609,50
15610,50
15611,50
15612,50
15613,50
15614,50
15615,50
15616,50
15617,50
15618,50
15619,50
15620,50
15621,60
15622,60
15623,60
15624,50
15625,60
15626,60
15627,60
15628,60
15629,70
15630,70
15631,80
15632,80
15633,60
15634,60
15635,70
15636,80
15637,100
15638,110
15639,170
15640,220
15641,200
15642,200
15643,200
15644,200
15645,180
15646,180
15647,170
15648,150
15649,140
15650,120
15651,120
15652,100
15653,100
15654,100
15655,80
15656,80
15657,70
15658,70
15659,70
15660,70
15661,60
15662,60
15663,70
15664,70
15665,70
15666,100
15667,160
15668,180
15669,180
15670,180
15671,160
15672,160
15673,140
15674,130
15675,120
15676,120
15677,100
15678,100
15679,140
15680,140
15681,140
15682,140
15683,150
15684,150
15685,150
15686,130
15687,110
15688,100
15689,100
15690,90
15691,100
15692,90
15693,90
15694,90
15695,90
15696,90
15697,90
15698,90
15699,90
15700,90
15701,80
15702,90
15703,70
15704,100
15705,90
15706,70
15707,60
15708,60
15709,70
15710,60
15711,60
15712,60
15713,60
15714,60
15715,60
15716,60
15717,50
15718,50
15719,60
15720,60
15721,60
15722,60
15723,60
15724,50
15725,60
15726,50
15727,50
15728,50
15729,50
15730,50
15731,50
15732,50
15733,50
15734,50
15735,50
15736,50
15737,50
15738,50
15739,50
15740,50
15741,50
15742,40
15743,40
15744,40
15745,40
15746,40
15747,40
15748,40
15749,40
15750,40
15751,40
15752,40
15753,40
15754,40
15755,40
15756,40
15757,40
15758,40
15759,50
15760,50
15761,50
15762,50
15763,50
15764,50
15765,50
15766,50
15767,50
15768,50
15769,50
15770,50
15771,50
15772,50
15773,50
15774,50
15775,50
15776,50
15777,50
15778,50
15779,50
15780,50
15781,50
15782,50
15783,50
15784,50
15785,50
15786,50
15787,60
15788,70
15789,70
15790,70
15791,70
15792,100
15793,120
15794,110
15795,90
15796,90
15797,100
15798,110
15799,120
15800,100
15801,110
15802,200
15803,210
15804,210
15805,220
15806,210
15807,220
15808,210
15809,200
15810,180
15811,180
15812,180
15813,140
15814,130
15815,150
15816,150
15817,150
15818,160
15819,160
15820,160
15821,160
15822,150
15823,140
15824,130
15825,130
15826,120
15827,110
15828,110
15829,110
15830,110
15831,100
15832,100
15833,90
15834,90
15835,90
15836,90
