id,WattHour
15001,110
15002,120
15003,120
15004,120
15005,120
15006,120
15007,110
15008,110
15009,110
15010,110
15011,110
15012,110
15013,110
15014,110
15015,120
15016,120
15017,110
15018,120
15019,110
15020,110
15021,100
15022,100
15023,100
15024,90
15025,80
15026,80
15027,80
15028,70
15029,80
15030,70
15031,70
15032,70
15033,80
15034,70
15035,70
15036,70
15037,70
15038,70
15039,70
15040,70
15041,70
15042,70
15043,70
15044,70
15045,70
15046,70
15047,80
15048,80
15049,70
15050,80
15051,80
15052,100
15053,80
15054,90
15055,100
15056,110
15057,100
15058,90
15059,90
15060,80
15061,90
15062,90
15063,100
15064,110
15065,100
15066,80
15067,80
15068,100
15069,100
15070,100
15071,110
15072,100
15073,100
15074,120
15075,100
15076,110
15077,120
15078,120
15079,110
15080,110
15081,100
15082,120
15083,120
15084,130
15085,110
15086,140
15087,120
15088,120
15089,130
15090,120
15091,130
15092,120
15093,110
15094,120
15095,120
15096,140
15097,130
15098,130
15099,140
15100,130
15101,130
15102,120
15103,120
15104,110
15105,110
15106,110
15107,110
15108,110
15109,110
15110,110
15111,120
15112,130
15113,110
15114,110
15115,110
15116,100
15117,110
15118,110
15119,110
15120,110
15121,110
15122,110
15123,100
15124,110
15125,100
15126,170
15127,170
15128,170
15129,110
15130,100
15131,100
15132,100
15133,130
15134,130
15135,120
15136,100
15137,120
15138,120
15139,90
15140,90
15141,80
15142,80
15143,80
15144,80
15145,80
15146,80
15147,70
15148,80
15149,80
15150,80
15151,70
15152,80
15153,70
15154,80
15155,80
15156,80
15157,90
15158,80
15159,80
15160,80
15161,80
15162,80
15163,70
15164,70
15165,70
15166,70
15167,160
15168,160
15169,70
15170,60
15171,50
15172,50
15173,50
15174,50
15175,50
15176,50
15177,50
15178,50
15179,50
15180,50
15181,50
15182,50
15183,50
15184,50
15185,50
15186,50
15187,50
15188,50
15189,60
15190,80
15191,60
15192,60
15193,60
15194,60
15195,60
15196,60
15197,60
15198,60
15199,70
15200,60
15201,60
15202,80
15203,60
15204,70
15205,70
15206,60
15207,60
15208,70
15209,70
15210,100
15211,100
15212,100
15213,110
15214,110
15215,110
15216,110
15217,110
15218,110
15219,110
15220,110
15221,100
15222,100
15223,110
15224,100
15225,100
15226,100
15227,110
15228,100
15229,110
15230,100
15231,120
15232,110
15233,100
15234,110
15235,120
15236,110
15237,90
15238,100
15239,90
15240,90
15241,100
15242,100
15243,90
15244,90
15245,100
15246,90
15247,90
15248,100
15249,90
15250,90
15251,100
15252,100
15253,100
15254,100
15255,90
15256,110
15257,100
15258,120
15259,100
15260,100
15261,100
15262,100
15263,90
15264,100
15265,120
15266,100
15267,100
15268,110
15269,110
15270,120
15271,200
15272,200
15273,190
15274,170
15275,120
15276,130
15277,110
15278,120
15279,120
15280,120
15281,130
15282,120
15283,120
15284,120
15285,120
15286,120
15287,110
15288,120
15289,110
15290,130
15291,130
15292,120
15293,120
15294,100
15295,100
15296,90
15297,90
15298,110
15299,100
15300,90
15301,80
15302,80
15303,80
15304,70
15305,70
15306,70
15307,70
15308,60
15309,70
15310,60
15311,60
15312,60
15313,60
15314,60
15315,60
15316,60
15317,60
15318,60
15319,70
15320,60
15321,60
15322,50
15323,50
15324,50
15325,50
15326,50
15327,60
15328,60
15329,60
15330,60
15331,60
15332,60
15333,60
15334,60
15335,60
15336,60
15337,70
15338,60
15339,60
15340,70
15341,50
15342,60
15343,80
15344,60
15345,70
15346,80
15347,80
15348,70
15349,70
15350,70
15351,70
15352,70
15353,80
15354,80
15355,80
15356,80
15357,70
15358,80
15359,80
15360,80
15361,90
15362,80
15363,90
15364,80
15365,80
15366,80
15367,90
15368,80
15369,90
15370,120
15371,90
15372,90
15373,130
15374,90
15375,90
15376,150
15377,90
15378,90
15379,100
15380,100
15381,110
15382,120
15383,100
15384,100
15385,100
15386,100
15387,90
15388,80
15389,90
15390,80
15391,80
15392,80
15393,80
15394,70
15395,80
15396,80
15397,80
15398,90
15399,90
15400,90
15401,90
15402,90
15403,90
15404,90
15405,90
15406,100
15407,100
15408,100
15409,100
15410,110
15411,100
15412,100
15413,100
15414,100
15415,90
15416,100
15417,130
15418,140
15419,90
15420,90
15421,100
15422,100
15423,100
15424,100
15425,150
15426,150
15427,150
15428,150
15429,140
15430,140
15431,120
15432,130
15433,100
15434,90
15435,100
15436,100
15437,90
15438,90
15439,80
15440,100
15441,80
15442,90
15443,80
15444,80
15445,80
15446,70
15447,70
15448,80
15449,70
15450,70
15451,70
15452,70
15453,70
15454,70
15455,170
15456,170
15457,170
15458,170
15459,70
15460,120
15461,110
15462,100
15463,100
15464,80
15465,80
15466,70
15467,70
15468,60
15469,70
15470,70
15471,70
15472,60
15473,60
15474,80
15475,70
15476,60
15477,60
15478,60
15479,60
15480,60
15481,60
15482,60
15483,60
15484,70
15485,70
15486,60
15487,70
15488,80
15489,80
15490,90
15491,90
15492,110
15493,100
15494,100
15495,90
15496,100
15497,110
15498,100
15499,110
15500,100
15501,90
15502,100
15503,100
15504,120
15505,110
15506,130
15507,120
15508,100
15509,90
15510,100
15511,120
15512,120
15513,130
15514,130
15515,130
15516,130
15517,130
15518,130
15519,130
15520,110
15521,110
15522,100
15523,110
15524,110
15525,110
15526,120
15527,110
15528,110
15529,100
15530,100
15531,100
15532,100
15533,100
15534,90
15535,90
15536,110
15537,100
15538,90
15539,80
15540,80
15541,80
15542,80
15543,90
15544,80
15545,80
15546,90
15547,80
15548,90
15549,90
15550,80
15551,90
15552,80
15553,90
15554,90
15555,100
15556,100
15557,110
15558,120
15559,130
15560,140
15561,160
15562,160
15563,160
15564,200
15565,230
15566,240
15567,230
15568,210
15569,200
15570,200
15571,150
15572,140
15573,130
15574,120
15575,120
15576,110
15577,140
15578,110
15579,110
15580,100
15581,110
15582,100
15583,110
15584,100
15585,100
15586,100
15587,100
15588,90
15589,100
15590,100
15591,100
15592,110
15593,110
15594,110
15595,100
15596,120
15597,120
15598,120
15599,110
15600,110
15601,110
15602,110
15603,110
15604,90
15605,80
15606,80
15607,80
15608,80
15609,80
15610,80
15611,100
15612,90
15613,90
15614,80
15615,80
15616,80
15617,80
15618,80
15619,80
15620,90
15621,90
15622,90
15623,90
15624,90
15625,90
15626,90
15627,90
15628,90
15629,80
15630,90
15631,90
15632,90
15633,90
15634,100
15635,110
15636,110
15637,90
15638,110
15639,110
15640,120
15641,170
15642,160
15643,160
15644,160
15645,170
15646,160
15647,120
15648,130
15649,150
15650,130
15651,130
15652,140
15653,140
15654,130
15655,150
15656,140
15657,130
15658,140
15659,140
15660,140
15661,150
15662,160
15663,170
15664,180
15665,160
15666,160
15667,150
15668,180
15669,180
15670,190
15671,180
15672,160
15673,160
15674,160
15675,160
15676,150
15677,140
15678,150
15679,170
15680,170
15681,160
15682,160
15683,200
15684,250
15685,240
15686,230
15687,160
15688,190
15689,190
15690,180
15691,190
15692,190
15693,170
15694,170
15695,160
15696,160
15697,150
15698,140
15699,140
15700,130
15701,140
15702,180
15703,140
15704,170
15705,160
15706,140
15707,120
15708,130
15709,160
15710,130
15711,140
15712,130
15713,120
15714,150
15715,130
15716,120
15717,120
15718,110
15719,110
15720,110
15721,110
15722,110
15723,110
15724,110
15725,100
15726,100
15727,100
15728,100
15729,80
15730,70
15731,70
15732,70
15733,70
15734,70
15735,70
15736,70
15737,70
15738,70
15739,70
15740,70
15741,70
15742,70
15743,70
15744,70
15745,100
15746,70
15747,70
15748,70
15749,80
15750,80
15751,80
15752,80
15753,70
15754,70
15755,80
15756,70
15757,70
15758,70
15759,90
15760,80
15761,80
15762,80
15763,70
15764,70
15765,70
15766,70
15767,60
15768,70
15769,70
15770,70
15771,70
15772,70
15773,70
15774,70
15775,70
15776,90
15777,70
15778,70
15779,70
15780,70
15781,80
15782,90
15783,70
15784,70
15785,80
15786,90
15787,90
15788,100
15789,90
15790,90
15791,100
15792,100
15793,90
15794,90
15795,90
15796,90
15797,80
15798,100
15799,110
15800,110
15801,120
15802,110
15803,150
15804,160
15805,170
15806,170
15807,260
15808,240
15809,310
15810,300
15811,270
15812,240
15813,200
15814,210
15815,240
15816,240
15817,300
15818,270
15819,350
15820,360
15821,360
15822,380
15823,350
15824,360
15825,340
15826,330
15827,290
15828,210
15829,210
15830,220
15831,210
15832,200
15833,190
15834,270
15835,200
15836,170
15837,180
15838,160
15839,250
15840,200
15841,190
15842,160
15843,200
15844,170
15845,170
15846,160
15847,250
15848,150
15849,150
15850,150
15851,150
15852,150
15853,150
15854,140
15855,140
15856,220
15857,150
15858,140
15859,140
15860,120
15861,130
15862,110
15863,120
15864,120
15865,120
15866,100
15867,110
15868,100
15869,110
15870,120
15871,130
15872,110
15873,120
15874,120
15875,120
15876,110
15877,110
15878,100
15879,90
15880,100
15881,90
15882,90
15883,80
15884,90
15885,90
15886,90
15887,80
15888,80
15889,100
15890,80
15891,80
15892,80
15893,70
15894,80
15895,80
15896,90
15897,80
15898,80
15899,80
15900,80
15901,80
15902,70
15903,70
15904,70
15905,70
15906,60
15907,60
15908,60
15909,60
15910,60
15911,80
15912,80
15913,90
15914,80
15915,60
15916,60
15917,70
15918,80
15919,90
15920,90
15921,100
15922,100
15923,100
15924,100
15925,100
15926,100
15927,110
15928,110
15929,120
15930,160
15931,170
15932,110
15933,170
15934,150
15935,160
15936,150
15937,140
15938,140
15939,140
15940,140
15941,140
15942,120
15943,130
15944,140
15945,150
15946,130
15947,130
15948,120
15949,140
15950,120
15951,120
15952,160
15953,160
15954,150
15955,170
15956,150
15957,160
15958,120
15959,120
15960,120
15961,120
15962,130
15963,130
15964,120
15965,120
15966,160
15967,130
15968,120
15969,130
15970,130
15971,120
15972,130
15973,130
15974,140
15975,130
15976,130
15977,140
15978,170
15979,170
15980,170
15981,170
15982,190
15983,160
15984,160
15985,160
15986,180
15987,160
15988,160
15989,160
15990,180
15991,170
15992,150
15993,170
15994,180
15995,190
15996,180
15997,180
15998,190
15999,170
16000,170
16001,230
16002,180
16003,160
16004,200
16005,170
16006,150
16007,150
16008,140
16009,140
16010,120
16011,120
16012,130
16013,130
16014,120
16015,110
16016,110
16017,100
16018,110
16019,100
16020,110
16021,100
16022,90
16023,100
16024,90
16025,80
16026,80
16027,80
16028,80
16029,80
16030,80
16031,70
16032,70
16033,70
16034,70
16035,80
16036,60
16037,50
16038,50
16039,50
16040,50
16041,60
16042,60
16043,70
16044,60
16045,60
16046,70
16047,50
16048,50
16049,50
16050,50
16051,50
16052,60
16053,60
16054,60
16055,60
16056,50
16057,60
16058,50
16059,60
16060,60
