V1,V2
Andaman and Nicobar Islands,720
Andhra Pradesh,220
Arunachal Pradesh,124
Assam,658
Bihar,768
Chandigarh,325
Chhattisgarh,471
Dadra and Nagar Haveli and Daman and Diu,862
Dadra and Nagar Haveli and Daman and Diu,862
Delhi,617
Goa,335
Gujarat,344
Haryana,617
Himachal Pradesh,758
Jammu and Kashmir,447
Jharkhand,390
Karnataka,523
Kerala,464
Lakshadweep,657
Madhya Pradesh,399
Maharashtra,435
Manipur,862
Meghalaya,897
Mizoram,690
Nagaland,690
Odisha,883
Puducherry,570
Punjab,376
Rajasthan,665
Sikkim,690
Tamil Nadu,372
Tripura,690
Uttar Pradesh,134
Uttarakhand,825
West Bengal,734
