id,WattHour
15001,90
15002,100
15003,90
15004,90
15005,90
15006,90
15007,80
15008,80
15009,80
15010,80
15011,80
15012,80
15013,80
15014,80
15015,80
15016,80
15017,70
15018,80
15019,60
15020,60
15021,60
15022,60
15023,60
15024,60
15025,60
15026,60
15027,50
15028,50
15029,50
15030,50
15031,60
15032,60
15033,60
15034,60
15035,60
15036,60
15037,60
15038,60
15039,60
15040,60
15041,60
15042,60
15043,60
15044,60
15045,50
15046,60
15047,60
15048,60
15049,60
15050,60
15051,60
15052,70
15053,60
15054,60
15055,60
15056,60
15057,60
15058,60
15059,60
15060,60
15061,70
15062,70
15063,70
15064,70
15065,70
15066,70
15067,70
15068,80
15069,80
15070,80
15071,80
15072,80
15073,80
15074,80
15075,80
15076,80
15077,80
15078,80
15079,80
15080,80
15081,80
15082,90
15083,80
15084,80
15085,80
15086,80
15087,80
15088,80
15089,80
15090,80
15091,90
15092,90
15093,80
15094,90
15095,90
15096,90
15097,90
15098,90
15099,90
15100,90
15101,80
15102,90
15103,90
15104,80
15105,90
15106,80
15107,90
15108,90
15109,90
15110,90
15111,90
15112,90
15113,90
15114,90
15115,90
15116,90
15117,90
15118,90
15119,90
15120,90
15121,90
15122,90
15123,80
15124,90
15125,90
15126,100
15127,100
15128,100
15129,100
15130,100
15131,100
15132,100
15133,90
15134,90
15135,90
15136,90
15137,100
15138,90
15139,100
15140,100
15141,100
15142,100
15143,100
15144,100
15145,100
15146,100
15147,90
15148,100
15149,90
15150,90
15151,70
15152,70
15153,70
15154,70
15155,70
15156,60
15157,70
15158,70
15159,70
15160,70
15161,70
15162,60
15163,60
15164,60
15165,60
15166,60
15167,60
15168,60
15169,60
15170,60
15171,60
15172,60
15173,60
15174,60
15175,60
15176,50
15177,50
15178,60
15179,60
15180,60
15181,50
15182,50
15183,50
15184,50
15185,60
15186,50
15187,60
15188,50
15189,50
15190,50
15191,50
15192,50
15193,50
15194,50
15195,60
15196,50
15197,50
15198,50
15199,60
