Entity,doc
Senegal,0.016130641
Gambia,0.017779663
Ghana,0.018239765
Nepal,0.02665592
Indonesia,0.027242893
Cambodia,0.03380473
Nigeria,0.049025099
Thailand,0.056158758
Bangladesh,0.061444555
Myanmar,0.071642753
Sri Lanka,0.077368562
Philippines,0.100716368
Malaysia,0.121272318
India,0.12132213
Pakistan,0.135475445
Iran,0.140380463
Vietnam,0.146437106
South Africa,0.154298554
Algeria,0.160756417
Hong Kong,0.19452098
Peru,0.200344495
Chile,0.209818705
Costa Rica,0.212648404
Turkey,0.21316116
Brunei,0.229942121
Ecuador,0.266579205
Colombia,0.271230238
Panama,0.274199335
China,0.284879937
Brazil,0.290613898
Singapore,0.30414341
South Korea,0.310479511
Saudi Arabia,0.31626913
Egypt,0.330680284
United Arab Emirates,0.331250568
Japan,0.335115427
United Kingdom,0.359100734
Mexico,0.397041642
Kuwait,0.403439601
Jordan,0.410232221
Canada,0.41913392
Poland,0.428433265
Luxembourg,0.432525876
New Zealand,0.450831126
Qatar,0.468897216
Netherlands,0.477531294
Slovenia,0.506051057
Croatia,0.515111461
Serbia,0.537744429
Australia,0.538230505
Portugal,0.544054103
France,0.550343561
Sweden,0.560218651
Austria,0.560994782
Norway,0.567430222
Ireland,0.574479406
Iceland,0.586375587
Belgium,0.587343445
Switzerland,0.606234248
Finland,0.60776498
Argentina,0.62124621
Hungary,0.621321139
Uruguay,0.629247251
Czech Republic,0.636719704
Denmark,0.651037621
Greece,0.72379595
Slovakia,0.737083701
Estonia,0.76752123
Germany,0.782874325
Israel,0.783959638
Kazakhstan,0.823267413
Latvia,0.839571463
Lithuania,0.925734445
Italy,0.925978653
Belarus,0.934534328
Russia,0.940781163
Spain,0.965250145
Georgia,1
