Country,BED
Iceland,0.000211159
Luxembourg,0.000603225
Estonia,0.001467739
Slovenia,0.001963224
Ireland,0.003167141
Latvia,0.00342888
New Zealand,0.003443303
Denmark,0.003700741
Costa Rica,0.003969979
Lithuania,0.004509071
Norway,0.005233476
Israel,0.005251372
Sweden,0.007202032
Finland,0.007612196
Switzerland,0.008214921
Portugal,0.008987115
Chile,0.010858396
Austria,0.011982677
Greece,0.012854187
Czech Republic,0.014615647
Hungary,0.014643448
Netherlands,0.016458737
Belgium,0.016604854
Australia,0.020446034
Canada,0.021863334
Spain,0.029888515
Italy,0.044697547
Turkey,0.04616708
Colombia,0.052807795
Poland,0.059470805
Mexico,0.069315483
France,0.083380299
South Africa,0.088691274
United Kingdom,0.095382723
Germany,0.130144049
Indonesia,0.146911686
Brazil,0.325469239
Japan,0.385867084
India,0.433591487
Russia,1
