Peer Review,Value,Lower Bound,Upper Bound,Age Range,Country,Location,Start Date,End Date
Yes,0.3,0.17,0.44,Unspecified,China,Wuhan City,09-01-2020,11-01-2020
No,2.2,1.4,3.8,Unspecified,China,Wuhan City,27-11-2019,18-01-2020
No,2.6,1.5,3.5,Unspecified,China,Wuhan City,Unspecified,18-01-2020
Yes,2.24,1.96,2.55,Unspecified,China,Mainland China,10-01-2020,24-01-2020
No,Unspecified,1.5,3.5,Unspecified,China,Wuhan City,01-11-2019,01-01-2020
No,1.48,Unspecified,Unspecified,Unspecified,China,mainland China,17-12-2019,06-02-2020
No,2.1,2,2.2,Unspecified,China,Unspecified,08-12-2019,24-01-2020
No,3.2,2.7,3.7,Unspecified,China,Unspecified,08-12-2019,24-01-2020
No,2.4 - 2.5,Unspecified,Unspecified,Unspecified,China,mainland China,17-12-2019,06-02-2020
No,7.05,6.11,8.18,Unspecified,China,Wuhan,31-12-2019,23-01-2020
No,1.44,1.4,1.47,Unspecified,China,Wuhan,22-01-2020,12-02-2020
No,2.2,2.1,2.4,Unspecified,Cruise Ship,Diamond Princess,20-01-2020,20-02-2020
No,4.8,3.36,6.67,Unspecified,China,mainland China,11-01-2020,16-01-2020
No,4.6,3.56,5.65,Unspecified,China,mainland China,11-01-2020,17-01-2020
No,5.14,4.25,6.03,Unspecified,China,mainland China,11-01-2020,18-01-2020
No,6.09,5.02,7.16,Unspecified,China,mainland China,11-01-2020,19-01-2020
No,7.09,5.84,8.35,Unspecified,China,mainland China,11-01-2020,20-01-2020
No,2.6,Unspecified,Unspecified,Unspecified,China,mainland China,11-01-2020,10-02-2020
No,3.25,2.37,4.14,Unspecified,China,mainland China,11-01-2020,16-01-2020
No,3.13,2.5,3.76,Unspecified,China,mainland China,11-01-2020,17-01-2020
No,3.42,2.91,3.93,Unspecified,China,mainland China,11-01-2020,18-01-2020
No,3.96,3.36,4.57,Unspecified,China,mainland China,11-01-2020,19-01-2020
No,4.58,3.81,5.35,Unspecified,China,mainland China,11-01-2020,20-01-2020
No,2,Unspecified,Unspecified,Unspecified,China,mainland China,11-01-2020,10-02-2020
No,1.27,1.19,1.36,Unspecified,Singapore,Unspecified,31-12-2019,26-02-2020
No,1.59,1.42,1.78,Unspecified,China,Tianjin,31-12-2019,27-02-2020
No,3.6,3.2,4.2,Unspecified,Iran,Unspecified,19-02-2020,29-02-2020
No,3.58,1.29,8.46,Unspecified,Iran,Unspecified,19-02-2020,29-02-2020
No,2.5,2.43,2.55,Unspecified,Japan,Unspecified,14-01-2020,08-03-2020
No,2.37,Unspecified,Unspecified,Unspecified,Afghanistan,Unspecified,Unspecified,15-05-2020
No,2.51,Unspecified,Unspecified,Unspecified,Albania,Unspecified,Unspecified,17-04-2020
No,2.36,Unspecified,Unspecified,Unspecified,Algeria,Unspecified,Unspecified,04-05-2020
No,2.72,Unspecified,Unspecified,Unspecified,Andorra,Unspecified,Unspecified,02-05-2020
No,2.42,Unspecified,Unspecified,Unspecified,Argentina,Unspecified,Unspecified,04-05-2020
No,2.6,Unspecified,Unspecified,Unspecified,Armenia,Unspecified,Unspecified,17-04-2020
No,2.65,Unspecified,Unspecified,Unspecified,Australia,Unspecified,Unspecified,23-04-2020
No,2.59,Unspecified,Unspecified,Unspecified,Austria,Unspecified,Unspecified,25-07-2020
No,2.23,Unspecified,Unspecified,Unspecified,Azerbaijan,Unspecified,Unspecified,28-04-2020
No,2.01,Unspecified,Unspecified,Unspecified,Bahrain,Unspecified,Unspecified,09-04-2020
No,2.55,Unspecified,Unspecified,Unspecified,Belgium,Unspecified,Unspecified,18-04-2020
