Peer Review,Value,Lower Bound,Upper Bound,Age Range,Country,Location,Start Date,End Date,Published Date,Source
Yes,1.12,1.04,1.18,Unspecified,China,unspecified,10-01-2020,23-01-2020,16-03-2020,Li R. et al.
Yes,0.52,0.39,0.71,Unspecified,China,unspecified,24-01-2020,03-02-2020,16-03-2020,Li R. et al.
Yes,0.35,0.27,0.5,Unspecified,China,unspecified,24-01-2020,08-02-2020,16-03-2020,Li R. et al.
No,0.315,Unspecified,Unspecified,Unspecified,Brazil,Unspecified,26-02-2020,25-03-2020,30-03-2020,Crokidakis N. et al.
No,0.34,Unspecified,Unspecified,Unspecified,Algeria,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Algeria,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.22,Unspecified,Unspecified,Unspecified,Argentina,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.05,Unspecified,Unspecified,Unspecified,Argentina,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.44,Unspecified,Unspecified,Unspecified,Australia,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Australia,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.57,Unspecified,Unspecified,Unspecified,Austria,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Austria,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.69,Unspecified,Unspecified,Unspecified,Belgium,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Belgium,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.7,Unspecified,Unspecified,Unspecified,Brazil,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.03,Unspecified,Unspecified,Unspecified,Brazil,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.68,Unspecified,Unspecified,Unspecified,Canada,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.04,Unspecified,Unspecified,Unspecified,Canada,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.49,Unspecified,Unspecified,Unspecified,Chile,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.04,Unspecified,Unspecified,Unspecified,Chile,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.26,Unspecified,Unspecified,Unspecified,Colombia,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Colombia,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.45,Unspecified,Unspecified,Unspecified,Czechia,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Czechia,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.22,Unspecified,Unspecified,Unspecified,Denmark,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.22,Unspecified,Unspecified,Unspecified,Denmark,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.26,Unspecified,Unspecified,Unspecified,Dominican Republic,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.1,Unspecified,Unspecified,Unspecified,Dominican Republic,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.32,Unspecified,Unspecified,Unspecified,Ecuador,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Ecuador,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.22,Unspecified,Unspecified,Unspecified,Egypt,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.14,Unspecified,Unspecified,Unspecified,Egypt,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.18,Unspecified,Unspecified,Unspecified,Finland,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.18,Unspecified,Unspecified,Unspecified,Finland,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.64,Unspecified,Unspecified,Unspecified,France,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,France,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.73,Unspecified,Unspecified,Unspecified,Germany,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Germany,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.18,Unspecified,Unspecified,Unspecified,Greece,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Greece,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.41,Unspecified,Unspecified,Unspecified,India,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.21,Unspecified,Unspecified,Unspecified,India,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.27,Unspecified,Unspecified,Unspecified,Indonesia,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.24,Unspecified,Unspecified,Unspecified,Indonesia,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.39,Unspecified,Unspecified,Unspecified,Iran,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Iran,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.35,Unspecified,Unspecified,Unspecified,Ireland,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.35,Unspecified,Unspecified,Unspecified,Ireland,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.61,Unspecified,Unspecified,Unspecified,Israel,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.02,Unspecified,Unspecified,Unspecified,Israel,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.55,Unspecified,Unspecified,Unspecified,Italy,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Italy,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.16,Unspecified,Unspecified,Unspecified,Japan,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.32,Unspecified,Unspecified,Unspecified,Japan,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.2,Unspecified,Unspecified,Unspecified,Luxembourg,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Luxembourg,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.34,Unspecified,Unspecified,Unspecified,Malaysia,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.02,Unspecified,Unspecified,Unspecified,Malaysia,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.31,Unspecified,Unspecified,Unspecified,Mexico,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.15,Unspecified,Unspecified,Unspecified,Mexico,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.52,Unspecified,Unspecified,Unspecified,Netherlands,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Netherlands,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.32,Unspecified,Unspecified,Unspecified,Norway,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.02,Unspecified,Unspecified,Unspecified,Norway,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.2,Unspecified,Unspecified,Unspecified,Pakistan,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.04,Unspecified,Unspecified,Unspecified,Pakistan,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.22,Unspecified,Unspecified,Unspecified,Panama,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Panama,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.31,Unspecified,Unspecified,Unspecified,Peru,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.31,Unspecified,Unspecified,Unspecified,Peru,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.31,Unspecified,Unspecified,Unspecified,Philippines,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
