country_code,count
US,100872
GB,33574
IN,23949
CA,13033
NG,8225
ZA,4550
AU,4463
IE,4148
PK,3033
KE,2904
PH,1520
UG,1509
DE,1300
GH,1244
IT,1199
ES,1192
NZ,1135
AE,1110
MY,1087
BE,949
FR,917
LK,863
CN,841
TH,819
JP,815
NL,694
SA,642
SG,577
TR,510
ID,489
CH,482
MV,425
MX,411
IL,365
BD,365
BR,346
LB,345
RW,333
ZW,327
SE,299
JM,295
QA,290
FJ,281
NP,280
TZ,275
AT,271
PL,257
HK,257
DK,208
BW,205
IQ,191
OM,189
SO,175
FI,175
SL,172
ET,162
NO,161
KR,160
EG,156
TW,144
PT,140
GR,136
ZM,133
KW,133
TT,126
AR,116
VN,105
CY,104
RU,103
AF,99
RS,94
CO,93
GE,92
BH,90
IR,89
HU,86
DJ,85
JO,78
XK,77
AD,77
CM,77
CZ,76
MT,68
PE,67
MW,65
RO,64
GM,63
CL,62
MA,59
EC,59
GI,56
SI,53
CD,48
CR,47
BA,47
IS,46
MM,46
ME,46
TN,45
SZ,40
HR,39
LS,39
UA,38
LU,37
AL,37
BB,34
CI,33
SK,32
LT,32
PA,32
BS,31
SN,31
PG,31
BM,28
BN,28
KH,28
VE,27
IM,26
LY,26
HT,25
GT,25
KY,23
EE,23
LR,23
DZ,23
AM,22
DO,21
BT,20
AZ,19
SY,19
MZ,19
CU,18
MK,18
MU,16
BY,16
KZ,15
AO,15
VA,15
MN,14
MQ,14
UY,14
ML,14
VU,13
TG,13
LC,13
BG,12
MC,12
SX,12
BZ,11
GU,10
BO,10
NI,9
SV,8
UZ,8
CW,8
KG,8
UM,8
SB,8
GW,8
DM,7
CV,7
GG,7
BJ,7
AW,7
VG,7
GY,7
HN,7
CG,7
BI,7
KN,7
AG,7
VC,6
LV,6
VI,6
GN,6
PR,6
GA,5
MD,5
SC,5
PY,5
MO,5
MG,5
WS,4
BF,4
RE,4
TC,4
GQ,3
TL,3
LI,3
NE,3
JE,3
TM,3
MP,2
SR,2
FK,2
AS,2
BQ,2
FO,2
LA,2
MR,2
GL,1
TJ,1
GP,1
SD,1
MF,1
PN,1
PF,1
GD,1
YE,1
