,Peer Review,Value,Lower Bound,Upper Bound,Age Range,Country,Location,Start Date,End Date,Published Date,Source
0,No,4.6,3.3,5.7,Unspecified,China,excluding Wuhan,31-12-2019,25-01-2020,28-01-2020,Linton NM. et al.
1,No,5.0,4.1,5.8,Unspecified,China,including Wuhan,31-12-2019,25-01-2020,28-01-2020,Linton NM. et al.
2,No,5.4,4.2,6.7,Unspecified,China,Mainland China,10-12-2019,25-01-2020,26-01-2020,Famulare et al.
3,Yes,5.2,4.4,6.0,Unspecified,China,excluding Wuhan,01-12-2019,04-02-2019,04-02-2020,Lauer SA. et al.
4,No,4.2,3.5,5.1,Unspecified,China,Unspecified,31-12-2019,10-02-2020,11-02-2020,Sanche S. et al.
5,No,6.6,1.8,11.4,Unspecified,Singapore,Unspecified,19-01-2020,26-02-2020,06-03-2020,Tindale LC. et al.
6,No,5.4,0.9,9.9,Unspecified,China,Tianjin,21-01-2020,22-02-2020,06-03-2020,Tindale LC. et al.
7,No,5.2,1.0,9.4,Unspecified,China,Tianjin,21-01-2020,22-02-2020,06-03-2020,Tindale LC. et al.
8,No,7.1,6.1,8.3,Unspecified,Singapore,Unspecified,19-01-2020,26-02-2020,06-03-2020,Tindale LC. et al.
9,No,5.46,1.34,11.1,Unspecified,Singapore,Unspecified,19-01-2020,31-01-2020,06-03-2020,Tindale LC. et al.
10,No,7.27,1.31,17.3,Unspecified,Singapore,Unspecified,01-02-2020,26-02-2020,06-03-2020,Tindale LC. et al.
11,No,9.0,7.92,10.2,Unspecified,China,Tianjin,21-01-2020,22-02-2020,06-03-2020,Tindale LC. et al.
12,No,6.9,2.0,12.7,Unspecified,China,Tianjin,21-01-2020,31-01-2020,06-03-2020,Tindale LC. et al.
13,No,12.4,5.4,19.0,Unspecified,China,Tianjin,01-02-2020,22-02-2020,06-03-2020,Tindale LC. et al.
14,No,8.13,7.37,8.91,Unspecified,China,Unspecified,12-01-2020,23-01-2020,10-03-2020,Qin J. et al.
15,No,8.62,8.02,9.28,Unspecified,China,Unspecified,12-01-2020,23-01-2020,10-03-2020,Qin J. et al.
16,No,4.8,4.2,5.4,Unspecified,China,Shenzhen,14-01-2020,12-02-2020,04-03-2020,Qifang Bi et al.
17,Yes,4.2,3.5,5.1,Unspecified,China,Unspecified,15-01-2020,20-01-2020,08-04-2020,Sanche S. et al.
18,Yes,5.2,1.8,12.4,Unspecified,China,Mainland China excluding Hubei,24-12-2020,14-02-2020,02-04-2020,Zhang J. et al.
