,Entity,Code,Date,Number of tests per confirmed case
0,Argentina,ARG,"Apr 8, 2020",7.773
1,Argentina,ARG,"Apr 9, 2020",8.273
2,Argentina,ARG,"Apr 10, 2020",8.648
3,Argentina,ARG,"Apr 11, 2020",9.128
4,Argentina,ARG,"Apr 13, 2020",8.969
5,Argentina,ARG,"Apr 14, 2020",10.037
6,Argentina,ARG,"Apr 15, 2020",10.022
7,Argentina,ARG,"Apr 16, 2020",10.879000000000001
8,Argentina,ARG,"Apr 17, 2020",11.190999999999999
9,Argentina,ARG,"Apr 18, 2020",11.640999999999998
10,Argentina,ARG,"Apr 19, 2020",11.567
11,Argentina,ARG,"Apr 20, 2020",11.798
12,Argentina,ARG,"Apr 21, 2020",12.123
13,Argentina,ARG,"Apr 22, 2020",12.525
14,Argentina,ARG,"Apr 23, 2020",12.755
15,Argentina,ARG,"Apr 24, 2020",13.045
16,Argentina,ARG,"Apr 25, 2020",13.849
17,Argentina,ARG,"Apr 26, 2020",13.248
18,Argentina,ARG,"Apr 27, 2020",13.777999999999999
19,Argentina,ARG,"Apr 28, 2020",13.434000000000001
20,Argentina,ARG,"Apr 29, 2020",13.626
21,Argentina,ARG,"Apr 30, 2020",13.737
22,Argentina,ARG,"May 1, 2020",13.937000000000001
23,Argentina,ARG,"May 2, 2020",14.133
24,Argentina,ARG,"May 3, 2020",14.099
25,Argentina,ARG,"May 4, 2020",14.239
26,Argentina,ARG,"May 5, 2020",14.304
27,Argentina,ARG,"May 6, 2020",14.443
28,Argentina,ARG,"May 7, 2020",14.475
29,Argentina,ARG,"May 8, 2020",14.539000000000001
30,Argentina,ARG,"May 9, 2020",14.421
31,Argentina,ARG,"May 10, 2020",14.405
32,Argentina,ARG,"May 11, 2020",14.743
33,Argentina,ARG,"May 12, 2020",14.54
34,Australia,AUS,"Mar 22, 2020",130.28799999999998
35,Australia,AUS,"Mar 29, 2020",55.464
36,Australia,AUS,"Apr 5, 2020",52.251000000000005
37,Australia,AUS,"Apr 6, 2020",52.692
38,Australia,AUS,"Apr 7, 2020",53.166000000000004
39,Australia,AUS,"Apr 8, 2020",53.621
40,Australia,AUS,"Apr 9, 2020",54.55
41,Australia,AUS,"Apr 10, 2020",54.998000000000005
42,Australia,AUS,"Apr 11, 2020",55.763000000000005
43,Australia,AUS,"Apr 12, 2020",56.278999999999996
44,Australia,AUS,"Apr 13, 2020",57.282
45,Australia,AUS,"Apr 14, 2020",57.57
46,Australia,AUS,"Apr 15, 2020",57.883
47,Australia,AUS,"Apr 16, 2020",58.842
48,Australia,AUS,"Apr 17, 2020",60.263000000000005
49,Australia,AUS,"Apr 18, 2020",62.224
50,Australia,AUS,"Apr 19, 2020",63.923
51,Australia,AUS,"Apr 20, 2020",65.296
52,Australia,AUS,"Apr 21, 2020",66.391
53,Australia,AUS,"Apr 22, 2020",68.067
54,Australia,AUS,"Apr 23, 2020",70.132
55,Australia,AUS,"Apr 24, 2020",72.352
56,Australia,AUS,"Apr 25, 2020",73.913
57,Australia,AUS,"Apr 26, 2020",75.556
58,Australia,AUS,"Apr 27, 2020",77.024
59,Australia,AUS,"Apr 28, 2020",78.911
60,Australia,AUS,"Apr 29, 2020",80.797
61,Australia,AUS,"Apr 30, 2020",83.552
62,Australia,AUS,"May 1, 2020",87.085
63,Australia,AUS,"May 2, 2020",90.37700000000001
64,Australia,AUS,"May 3, 2020",93.337
65,Australia,AUS,"May 4, 2020",95.60600000000001
66,Australia,AUS,"May 5, 2020",97.4
67,Australia,AUS,"May 6, 2020",100.54799999999999
68,Australia,AUS,"May 7, 2020",105.098
69,Australia,AUS,"May 8, 2020",109.81
70,Australia,AUS,"May 9, 2020",115.05
71,Australia,AUS,"May 10, 2020",119.479
72,Australia,AUS,"May 11, 2020",123.198
73,Australia,AUS,"May 12, 2020",126.35700000000001
74,Austria,AUT,"Feb 26, 2020",160.5
75,Austria,AUT,"Feb 27, 2020",223.5
76,Austria,AUT,"Feb 28, 2020",152.6
77,Austria,AUT,"Feb 29, 2020",235.571
78,Austria,AUT,"Mar 3, 2020",149.056
79,Austria,AUT,"Mar 4, 2020",130.75
80,Austria,AUT,"Mar 5, 2020",127.96600000000001
81,Austria,AUT,"Mar 6, 2020",97.561
82,Austria,AUT,"Mar 7, 2020",58.216
83,Austria,AUT,"Mar 8, 2020",45.545
84,Austria,AUT,"Mar 9, 2020",46.412
