id,class
45000,0
45001,0
45002,1
45003,0
45004,1
45005,1
45006,0
45007,1
45008,1
45009,1
45010,1
45011,0
45012,1
45013,0
45014,1
45015,2
45016,0
45017,1
45018,1
45019,0
45020,1
45021,0
45022,1
45023,1
45024,0
45025,2
45026,1
45027,1
45028,0
45029,1
45030,1
45031,1
45032,0
45033,2
45034,1
45035,1
45036,2
45037,1
45038,0
45039,1
45040,1
45041,0
45042,0
45043,1
45044,1
45045,0
45046,0
45047,1
45048,1
45049,1
45050,0
45051,0
45052,1
45053,2
45054,1
45055,1
45056,1
45057,1
45058,1
45059,1
45060,2
45061,1
45062,1
45063,1
45064,1
45065,1
45066,1
45067,1
45068,2
45069,1
45070,2
45071,1
45072,0
45073,2
45074,0
45075,0
45076,0
45077,0
45078,0
45079,0
45080,0
45081,0
45082,1
45083,0
45084,1
45085,2
45086,0
45087,0
45088,0
45089,1
45090,2
45091,1
45092,0
45093,2
45094,1
45095,0
45096,0
45097,1
45098,2
45099,1
45100,1
45101,0
45102,1
45103,1
45104,0
45105,2
45106,2
45107,0
45108,1
45109,0
45110,1
45111,0
45112,1
45113,2
45114,0
45115,1
45116,0
45117,0
45118,1
45119,0
45120,1
45121,1
45122,2
45123,2
45124,0
45125,0
45126,0
45127,1
45128,0
45129,1
45130,2
45131,1
45132,0
45133,1
45134,1
45135,1
45136,2
45137,2
45138,1
45139,0
45140,1
45141,1
45142,2
45143,1
45144,1
45145,0
45146,1
45147,1
45148,1
45149,0
45150,2
45151,0
45152,2
45153,2
45154,0
45155,1
45156,0
45157,1
45158,1
45159,0
45160,1
45161,1
45162,2
45163,0
45164,0
45165,1
45166,1
45167,1
45168,0
45169,0
45170,1
45171,2
45172,1
45173,1
45174,0
45175,1
45176,2
45177,1
45178,0
45179,2
45180,0
45181,1
45182,0
45183,1
45184,1
45185,1
45186,0
45187,1
45188,1
45189,0
45190,1
45191,1
45192,0
45193,1
45194,1
45195,1
45196,0
45197,1
45198,1
45199,1
45200,0
45201,0
45202,0
45203,1
45204,0
45205,0
45206,1
45207,1
45208,0
45209,0
45210,0
45211,2
45212,1
45213,2
45214,0
45215,1
45216,1
45217,0
45218,0
45219,0
45220,1
45221,1
45222,0
45223,1
45224,0
45225,0
45226,1
45227,0
45228,0
45229,0
45230,0
45231,0
45232,0
45233,1
45234,1
45235,0
45236,0
45237,2
45238,1
45239,1
45240,0
45241,1
45242,0
45243,1
45244,0
45245,0
45246,0
45247,2
45248,0
45249,0
45250,0
45251,2
45252,0
45253,0
45254,2
45255,1
45256,2
45257,1
45258,0
45259,1
45260,1
45261,0
45262,2
45263,1
45264,2
45265,0
45266,0
45267,1
45268,0
45269,0
45270,1
45271,0
45272,0
45273,0
45274,0
45275,1
45276,0
45277,1
45278,1
45279,0
45280,1
45281,0
45282,0
45283,0
45284,1
45285,1
45286,1
45287,1
45288,2
45289,1
45290,1
45291,0
45292,1
45293,1
45294,0
45295,0
45296,0
45297,1
45298,1
45299,1
45300,0
45301,0
45302,0
45303,1
45304,1
45305,0
45306,1
45307,0
45308,0
45309,1
45310,1
45311,0
45312,0
45313,1
45314,1
45315,0
45316,1
45317,1
45318,1
45319,0
45320,1
45321,1
45322,0
45323,0
45324,0
45325,0
45326,1
45327,1
45328,0
45329,1
45330,1
45331,1
45332,1
45333,1
45334,1
45335,1
45336,1
45337,1
45338,1
45339,1
45340,1
45341,1
45342,1
45343,0
45344,1
45345,0
45346,1
45347,1
45348,0
45349,0
45350,1
45351,0
45352,0
45353,0
45354,0
45355,0
45356,0
45357,0
45358,0
45359,0
45360,0
45361,0
45362,0
45363,0
45364,0
45365,0
45366,2
45367,1
45368,0
45369,1
45370,0
45371,1
45372,1
45373,1
45374,1
45375,1
45376,1
45377,1
45378,0
45379,2
45380,2
45381,1
45382,0
45383,0
45384,0
45385,2
45386,1
45387,0
45388,0
45389,2
45390,0
45391,0
45392,0
45393,0
45394,0
45395,1
45396,0
45397,0
45398,0
45399,0
45400,0
45401,1
45402,0
45403,1
45404,0
45405,0
45406,1
45407,1
45408,1
45409,0
45410,0
45411,0
45412,2
45413,0
45414,1
45415,1
45416,0
45417,2
45418,1
45419,0
45420,2
45421,0
45422,0
45423,1
45424,1
