id,WattHour
15001,70
15002,60
15003,70
15004,70
15005,110
15006,70
15007,70
15008,90
15009,90
15010,90
15011,70
15012,70
15013,70
15014,70
15015,60
15016,60
15017,60
15018,60
15019,60
15020,60
15021,60
15022,60
15023,60
15024,50
15025,60
15026,60
15027,60
15028,60
15029,60
15030,60
15031,50
15032,60
15033,60
15034,60
15035,60
15036,60
15037,60
15038,60
15039,60
15040,60
15041,50
15042,60
15043,60
15044,60
15045,50
15046,60
15047,50
15048,60
15049,60
15050,60
15051,60
15052,60
15053,60
15054,60
15055,50
15056,60
15057,50
15058,60
15059,30
15060,30
15061,60
15062,60
15063,60
15064,50
15065,80
15066,80
15067,80
15068,60
15069,60
15070,50
15071,50
15072,80
15073,80
15074,80
15075,80
15076,80
15077,40
15078,80
15079,80
15080,80
15081,70
15082,80
15083,80
15084,80
15085,80
15086,60
15087,90
15088,90
15089,80
15090,60
15091,60
15092,80
15093,80
15094,90
15095,90
15096,90
15097,100
15098,90
15099,90
15100,90
15101,100
15102,100
15103,90
15104,90
15105,90
15106,100
15107,100
15108,90
15109,80
15110,80
15111,80
15112,80
15113,50
15114,50
15115,50
15116,50
15117,80
15118,80
15119,60
15120,60
15121,60
15122,60
15123,60
15124,60
15125,60
15126,50
15127,120
15128,50
15129,80
15130,90
15131,60
15132,60
15133,80
15134,40
15135,60
15136,60
15137,60
15138,50
15139,50
15140,80
15141,50
15142,80
15143,80
15144,80
15145,80
15146,80
15147,80
15148,60
15149,80
15150,60
15151,80
15152,60
15153,60
15154,60
15155,60
15156,60
15157,70
15158,50
15159,50
15160,80
15161,80
15162,50
15163,50
15164,50
15165,60
15166,60
15167,60
15168,70
15169,60
15170,50
15171,50
15172,50
15173,50
15174,50
15175,50
15176,50
15177,50
15178,50
15179,60
15180,50
15181,50
15182,50
15183,50
15184,50
15185,60
15186,60
15187,50
15188,60
15189,60
15190,60
15191,50
15192,40
15193,40
15194,50
15195,40
15196,50
15197,50
15198,60
15199,50
15200,50
15201,60
15202,60
15203,60
15204,50
15205,50
15206,50
15207,50
15208,50
15209,50
15210,50
15211,60
15212,110
15213,110
15214,60
15215,110
15216,90
15217,90
15218,90
15219,90
15220,90
15221,90
15222,90
15223,60
15224,60
15225,90
15226,60
15227,60
15228,90
15229,60
15230,100
15231,90
15232,90
15233,60
15234,60
15235,60
15236,60
15237,90
15238,100
15239,60
15240,100
15241,60
15242,90
