,Unnamed: 0,UserId,Text,Date,ProductId,Helpfullness,Sarcasm,Product,Sentiment
0,0,1309447307939606528,Whole Foods is reportedly using a heat map to track stores at risk of unionization - The Verge https://t.co/SvV1YB3CYB,2020-09-25,B001E4KFG0,1,1,,1
1,1,1309438045075247105,"'It's like being in a sci-fi nightmare film': Whole Foods employees say Amazon workers are crowding stores, ignorin… https://t.co/ogOFUxYF6b",2020-09-25,B001E4KFG0,1,1,,1
2,2,1309437607407951878,RT @verge: Amazon Go’s cashierless tech may come to Whole Foods as soon as next year https://t.co/4CHpMUDCkL https://t.co/VNBbuvjn22,2020-09-25,B001E4KFG0,0,1,,1
3,3,1309437558607220738,RT @verge: Amazon Go’s cashierless tech may come to Whole Foods as soon as next year https://t.co/PpZYWGWOPb https://t.co/nY1IbmPQtg,2020-09-25,B001E4KFG0,0,1,,1
4,4,1309436797840171008,RT @B52Malmet: It is a crazy time in WF stores. Whole Foods employees say Amazon workers are causing chaos in stores - Business Insider htt…,2020-09-25,B001E4KFG0,0,1,,-1
5,5,1309431316987904001,Amazon compra los supermercados Whole Foods por 13.700 millones de dólares https://t.co/gygoYjrs6g #amazon,2020-09-25,B001E4KFG0,1,1,,1
6,6,1309424098074787841,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
7,7,1309423429842591745,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
8,8,1309422332340043777,"RT @Navy_Lady_45: Hello Friends, 🐈🐾🐾💞

I take care of 30+ indoor and outdoor feral cats. All have been spayed/neutered. I am in need of cat…",2020-09-25,B001E4KFG0,1,1,,0
9,9,1309418168578977792,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
10,10,1309416101306970115,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
11,11,1309416066712506368,"RT @SwiftOnSecurity: Customers look on as a scruffy man walks into Amazon Foods and starts putting food in a bag. The shelves turn red - ""E…",2020-09-25,B001E4KFG0,1,1,,0
12,12,1309415855927824385,"RT @SwiftOnSecurity: Customers look on as a scruffy man walks into Amazon Foods and starts putting food in a bag. The shelves turn red - ""E…",2020-09-25,B001E4KFG0,1,1,,0
13,13,1309413745630773248,RT @ourcupofkhafi: Thank you Amazon foods. I can go to Dorathy's house to eat when I go broke from spending all my money to vote this week…,2020-09-25,B001E4KFG0,0,1,,0
14,14,1309411433881333760,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
15,15,1309407945499664384,@Soonergirl12 @nytimesbusiness Whole Foods does accept EBT/SNAP (food stamps) Whole Whole Foods does accept SNAP/EB… https://t.co/MDFC1dRxkB,2020-09-25,B001E4KFG0,1,1,,1
16,16,1309407646424858625,@queentricia82 Whole Foods does accept SNAP/EBT in person and online (thru amazon) https://t.co/t4WpBCTBRr… https://t.co/iBDaK0146W,2020-09-25,B001E4KFG0,0,1,,1
17,17,1309407307894317058,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
18,18,1309407242060353537,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
19,19,1309406005500014592,"Pantry | Dhara Rice Bran Oil Jar, 5L at ₹569

https://t.co/9PGqDxcY2e

More Pantry Deals : 
https://t.co/VsZdeV6HQQ",2020-09-25,B001E4KFG0,0,1,,1
20,20,1309404300830019584,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
21,21,1309403936474890242,"RT @sad13: already boycotted whole food foods last year due to amazon ownership but if i hadn't, here's a pretty good reason to stop shoppi…",2020-09-25,B001E4KFG0,1,1,,1
22,22,1309403634992582657,RT @fffffrida: this is next door to a whole foods and amazon's carbon footprint grew 15% this year... the call is coming from inside the wh…,2020-09-25,B001E4KFG0,0,1,,1
23,23,1309403014902341633,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
24,24,1309401174811041792,"RT @AdouBD: @SethFromThe716 Check this. We made these fouls rich, and now they spit on us, and their employees.
https://t.co/hyRh49jfoo",2020-09-25,B001E4KFG0,0,1,,1
25,25,1309400656571183104,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
26,26,1309399131023011840,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
27,27,1309399032125513728,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
