,RanARI treatment (% of children under 5 taken to a health provider),RanAccess to electricity (% of population),"RanCentral government debt, total (% of GDP)",RanCurrent health expenditure per capita (current US$),RanDomestic general government health expenditure (% of GDP),"RanDomestic general government health expenditure per capita, PPP (current international $)","RanEmployment to population ratio, 15+, total (%) (national estimate)",RanGDP per person employed (constant 2017 PPP $),"RanGDP, PPP (constant 2017 international $)","RanHospital beds (per 1,000 people)","RanIncidence of HIV (per 1,000 uninfected population ages 15-49)","RanIncidence of malaria (per 1,000 population at risk)",RanIndividuals using the Internet (% of population),"RanInflation, GDP deflator (annual %)","RanInflation, consumer prices (annual %)","RanMortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",RanPeople using at least basic sanitation services (% of population),RanPeople using safely managed drinking water services (% of population),RanPeople using safely managed sanitation services (% of population),RanPopulation density (people per sq. km of land area),RanPoverty gap at $3.20 a day (2011 PPP) (%),RanPregnant women receiving prenatal care (%),"RanPrevalence of HIV, female (% ages 15-24)",RanTravel services (% of commercial service exports),RanUrban population (% of total population),RanPrevalence of undernourishment (% of population),Label
2,0.0,800.0355039706277,1.339036826987195e+38,-2.0306622325895025e+18,-162.2862540850643,-790.9875744900527,0.0,-276289758224.6072,61487354.03723148,4.80165580112026e+53,1.4864800773503944e+45,2.0737264974506684e+82,0.0,0.0,0.0,1.905659829092929e+39,2.683736305400182e+43,2.9949566159144575e+38,0.0,676615473412143.9,-1.959255158447816e+19,6.658519810969691e+21,0.0,0.0,0.0,15712.172513217467,0.0
3,0.0,-1857.305173154878,-2.678073653891291e+38,2.0306622326175555e+18,1611.480575320111,1150.839281108774,0.0,138144796328.07205,-122974610.20067649,5.697781306948151e+59,-2.972360926555629e+45,0.0,0.0,114686.39065378008,0.0,1.415401743660486e+38,-5.375922954146748e+43,1.0494729472141088e+40,0.0,3732901080078152.0,-1.960315550299454e+19,2.0466391225673258e+21,0.0,0.0,0.0,0.0,0.0
4,0.0,971.8224817049586,1.7868114129019686e+38,1158566982.6164076,-2647.350577630429,-593.5997323203565,0.0,55416.977271486634,61657790.295374356,-1.1394558282631182e+60,1.4861844853994614e+45,0.0,0.0,-151434.70929558435,0.0,1.0506255243897736e+37,2.6893698676311047e+43,-2.0989458944282176e+40,0.0,1.7855078309201052e+16,3.920631100598908e+19,4.024535376989448e+20,0.0,0.0,0.0,0.0,-1.718281828459045
5,-2.880663628390514e+26,-0.6047212489091991,-8.955491720788142e+37,38985874562.03751,1148.9302549032097,295.32285508374457,0.0,184528.96083726556,-339777.2966762829,5.695756315079042e+59,5.125126646012313e+29,0.0,322821.29037652974,13075.745694474062,0.0,7.927843039886661e+35,1.791643242390777e+20,1.0497746593536718e+40,-8241114383796700.0,6.580109052878707e+16,-1.960315550299454e+19,1.054232725419245e+20,0.0,0.0,0.0,0.0,3.43656365691809
6,2.880663628390539e+26,36037.0628529185,4.477745860809462e+37,2112241877700.058,-46.547624883739445,-67.31779814771713,-7.412744948776521e+17,19953506.861574825,168214.1648497599,1.012999046693868e+56,2.2173180590983564e+16,0.0,-645215.4284397827,-29861.155728617152,0.0,5.327947564158368e+34,5378432055.309569,-6.034242791260233e+36,9615020957431668.0,1.7892004600135395e+17,-1.9603141077772526e+19,4.336408343074368e+19,0.0,0.0,0.0,0.0,-3.43656365691809
7,746556691231925.2,-72072.38073773113,5.203586762566394e+28,62954029287525.82,272.54672075859463,192.95417975010164,7.41274527796901e+17,-40461192.39276273,1470.7132379824125,2.8471862958825806e+53,576487229698.5875,0.0,327397.42082414916,6076925911.5609865,0.0,3.5806744789976874e+33,2.688066627543757e+43,3.0171213956301165e+36,210869841605152.0,4.15401638640536e+17,3.920628215554505e+19,1.008484357948096e+19,0.0,0.0,0.0,0.0,1.718281828459045
8,2.593192616685784e+18,9474447.634051748,-9.618467692067638e+28,6.40491867994477e+16,-6.704839610759109,1908.3050387046856,1.0644155059244255e+22,20355338.99724516,-1270.7450501739897,5.232230883081414e+51,-3690008766.507196,0.0,297495256758.60944,-12153746086.62638,0.0,2.4077243645108954e+32,-2.6878272091829103e+43,4.45078888416624e+38,252540402836534.0,1.0143168883496678e+18,-3.920198534922977e+19,4.929402508920392e+18,0.0,0.0,6.1741964152221946e+26,0.0,0.0
9,6.3119129382613746e+19,-18867663.967240036,3.6257100514079274e+28,2.2300878694152115e+18,-400.1014590815659,-2138.9722744677765,-2.127065002374293e+22,-63221.20063509629,783153.267440211,-8.38818701440644e+51,2174521806.4042306,0.0,-594990529411.1895,6076873700.773085,-321.019383848842,1.5928248252077678e+31,-2.6852405806935447e+43,-6.763869109583294e+38,292165649814414.0,3.2804041431426217e+18,3.9197688542914494e+19,7.14259242398891e+18,0.0,0.0,-1.2348392830444389e+27,0.0,0.0
10,-1.3051836585249844e+20,9420105.945080204,8.143879862759822e+27,5.822676385425099e+19,243.3088723707591,-983.8019810695594,2.289799577950085e+22,29580.798872847547,-1564652.1766483714,4.427475697180144e+51,54170435.392431006,0.0,297495267658.12946,53.2660378873845,296.38533386309473,1.1838489349864679e+30,2.785600263648453e+43,1.753715666678696e+37,351415859445834.0,1.3268329370580552e+19,7.655100540942931e+25,-3.3017315587251487e+18,0.0,0.0,6.1741964152221946e+26,19704.89338019566,0.0
11,6.720598180554153e+19,13851.281179240339,-5.052093929997807e+26,2.4383875257725354e+22,20.27858131466195,2030.03659928657,6.819515772013384e+25,17921.692035825778,782320.7186959926,1.1994036344188402e+44,152150466.23077783,0.0,133793.62516463466,16084089.12655644,55.010237535712164,8.646521647857234e+28,-2.045030862034156e+42,3.4631319248053887e+40,416306271055034.0,6.407574777424072e+19,-1.5310143471918209e+26,3.3017315587251487e+18,0.0,0.0,0.0,-39409.78676039132,0.0
