,0
0,people
1,cases
2,stay
3,coronavirus
4,covid_19
5,deaths
6,home
7,covid
8,stayathomeandstaysafedied
9,confirmed
10,safe
11,death
12,borisjohnson
13,dying
14,healthy
15,coronaupdate
16,toll
17,corona
18,die
19,number
20,latest
21,lockdowneffecttested
22,reported
23,save
24,news
25,boris
26,virus
27,positive
28,staying
29,authorities
30,covid2019
31,need
32,tweets
33,coronavirustruthpositive
34,recovered
35,lives
36,coronalockdownthink
37,nigeria
38,covid19pandemicvirus
39,april
40,stayhomesavelivesmasks
41,socialdistancinginfected
42,today
43,wash
44,canadian
45,hope
46,government
47,million
48,strong
49,how
50,why
51,hands
52,spain
53,whencoronavirusisoverthere
54,state
55,working
56,what
57,stayathome
58,discharged
59,outbreak
60,recovery
61,stop
62,worldwide
63,inside
64,understand
65,update
66,work
67,china
68,thelockdown
69,county
70,protect
71,nhs
72,cancelstudentdebtkeep
73,support
74,studentdebtstimuluspetition
75,family
76,together
77,stimulate
78,debt
79,sign
80,community
81,coronavirusoutbreaksupport
82,student
83,ukchange
84,food
85,fight
86,package
87,uk
88,patients
89,must
90,urge
91,ppe
92,live
93,friends
94,frontline
95,test
96,help
97,economy
98,great
99,stand
100,next
101,govt
102,staff
103,times
104,provide
105,others
106,coronavirusupdatescommunity
107,needed
108,team
109,tested
110,beat
111,via
112,first
113,continue
114,speakerpelosi
115,youtube
116,many
117,disease
118,medical
119,died
120,win
121,moneyforthepeoplein
122,change
123,updates
124,overcome
125,response
126,alerted
127,crisis
128,trump
129,new
130,realdonaldtrumpto
131,york
132,who
133,city
134,spread
135,president
136,nyc
137,god
138,normal
139,feel
140,symptoms
141,americans
142,newyork
143,app
144,potus
145,jersey
146,self
147,join
148,america
149,daily
150,reports
151,slow
152,donald
153,best
154,total
155,risk
156,states
157,brooklyn
158,download
159,newyorkcity
160,allah
161,cnn
162,yorkers
163,identify
164,media
165,zealand
166,reporting
167,funding
168,record
169,orleans
170,press
171,country
172,manhattan
173,surpasses
174,hoax
175,isolation
176,pray
177,trumppressconfreal
178,prevent
179,lord
180,lockdown
181,stayhome
182,health
183,coronaviruspandemicstayathome
184,staysafe
185,care
186,extended
187,workers
188,india
189,real
190,socialdistancinghealthcare
191,coronavirusoutbreakapril
192,stayhomesavelivespublic
193,covid19pandemictill
194,stayhealthy
195,stayhomesavelivesdays
196,flattenthecurvedoctors
197,washyourhands
198,hospital
199,coronavirususadue
200,savelives
201,nurses
202,weeks
203,love
204,coronavirusupdatecorona
205,life
206,quarantineactivitiesextend
207,sad
208,easter
209,mental
210,coronavirusupdates2020
211,staystrong
212,masks
213,london
214,besafe
215,living
216,lockdown2020
217,essential
218,coronalockdownpolice
219,needs
220,everyone
221,end
222,minister
223,coronavirustruthday
224,world
225,time
226,social
227,distancing
228,socialdistancingone
229,difficult
230,distance
231,practice
232,physical
233,countries
234,would
235,long
236,practicing
237,week
238,chinese
239,maintain
240,morning
241,war
242,usa
243,happy
244,coronavirusoutbreakthink
245,last
246,wuhan
247,measures
248,night
249,rules
250,rest
251,spending
252,guidelines
253,beautiful
254,global
255,right
256,mask
257,make
258,face
259,good
260,important
261,stayhomestaysafeplease
262,quarantine
263,pandemic
264,narendramodi
265,quarantinelifethank
266,share
267,socialdistancingknow
268,days
269,leaders
270,indiafightscoronasomeone
271,oneworld
272,pmoindia
273,quarantineandchillre
274,plan
275,defeat
276,pm
277,donate
278,heroes
279,follow
280,doctors
281,retweet
282,california
283,read
284,tiktok
285,bored
286,service
287,amid
288,dear
289,realdonaldtrumpin
290,stayhomeindia
291,stayhomesaveliveswhen
292,stayhomesavelivesmake
293,music
