,"RanExternal health expenditure per capita, PPP (current international $)",RanGDP (current US$),RanGDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),"RanInternational tourism, number of departures","RanInternational tourism, receipts (% of total exports)","RanMortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",RanOut-of-pocket expenditure (% of current health expenditure),"RanPhysicians (per 1,000 people)",RanPoverty gap at $3.20 a day (2011 PPP) (%),Label,Country Name,Year
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0,2000
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0,2001
2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0,2002
3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0,2003
4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2004
5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0,2005
6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2006
7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2007
8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2008
9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2009
10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2010
11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2011
12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2012
13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2013
14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2014
15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2015
16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2016
17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2017
18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,2018
19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0,2019
20,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,5,2000
21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5,2001
22,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,5,2002
23,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,5,2003
24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,5,2004
25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,5,2005
26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,5,2006
27,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,5,2007
28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5,2008
29,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,5,2009
30,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,5,2010
31,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,5,2011
32,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,5,2012
33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5,2013
34,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5,2014
35,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,5,2015
36,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,5,2016
37,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5,2017
38,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,5,2018
39,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,5,2019
40,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,10,2000
41,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,10,2001
42,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,10,2002
43,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,10,2003
44,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,10,2004
45,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,10,2005
46,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,10,2006
47,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,10,2007
48,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,10,2008
49,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,10,2009
50,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,10,2010
51,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,10,2011
52,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,10,2012
53,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,10,2013
54,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,10,2014
55,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,10,2015
56,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,10,2016
57,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,10,2017
58,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,10,2018
59,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,10,2019
60,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,15,2000
61,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,15,2001
62,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,15,2002
63,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,15,2003
64,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,15,2004
65,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,15,2005
66,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,15,2006
67,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,15,2007
68,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,15,2008
69,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,15,2009
70,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,15,2010
71,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,15,2011
72,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,15,2012
73,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,15,2013
74,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,15,2014
75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,15,2015
76,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,15,2016
77,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,15,2017
78,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,15,2018
79,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,15,2019
80,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,21,2000
81,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,21,2001
82,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,21,2002
83,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,21,2003
84,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,21,2004
85,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,21,2005
