id,A,B,C,D,E,F,G,H,I,J,K
15001,100,70,70,70,80,80,80,70,100,100,110
15002,100,80,70,70,90,80,80,70,100,100,110
15003,100,70,70,70,90,80,80,70,100,100,110
15004,100,70,70,70,90,80,80,70,100,100,110
15005,100,70,70,60,80,80,80,70,110,110,110
15006,90,70,70,60,80,80,80,70,100,100,100
15007,100,70,70,70,90,70,80,50,60,60,60
15008,90,70,70,60,80,70,80,50,60,60,60
15009,90,70,70,60,80,70,80,50,60,60,60
15010,90,70,70,60,80,70,80,50,60,60,60
15011,90,70,70,60,80,70,80,60,60,60,60
15012,80,70,70,70,80,70,80,60,60,60,60
15013,80,70,70,70,80,70,80,60,60,60,60
15014,80,70,70,70,80,60,80,60,60,60,60
15015,80,70,70,70,80,60,80,60,60,60,60
15016,80,70,70,70,80,60,80,60,60,60,60
15017,70,70,70,70,80,60,80,60,60,60,60
15018,70,80,70,70,90,60,80,50,60,60,60
15019,60,60,60,60,70,40,30,30,50,50,50
15020,60,60,60,60,70,40,30,50,50,50,50
15021,60,60,60,60,70,40,30,50,50,50,50
15022,60,60,60,60,70,40,30,50,50,50,50
15023,60,60,50,50,70,40,30,50,50,50,50
15024,60,60,50,50,60,40,30,50,50,50,50
15025,60,60,50,50,60,40,30,50,50,50,50
15026,60,60,50,50,60,40,30,50,50,50,50
15027,60,50,50,50,60,40,30,50,50,50,50
15028,60,50,50,50,60,40,30,50,50,50,50
15029,60,50,50,50,60,40,30,50,50,50,50
15030,60,50,50,50,60,40,30,50,50,50,50
15031,60,50,50,50,60,40,40,50,50,50,50
15032,60,50,50,50,60,40,40,50,50,50,50
15033,60,50,50,50,60,40,40,50,50,50,50
15034,60,50,50,50,60,40,40,50,50,50,50
15035,60,50,50,50,60,40,40,50,50,50,50
15036,60,50,50,50,60,40,40,60,50,50,50
15037,60,50,50,50,60,40,40,50,50,50,50
15038,60,50,50,50,60,40,40,50,50,50,50
15039,60,50,50,50,60,40,40,50,50,50,50
15040,60,50,50,50,60,40,40,50,50,50,50
15041,60,50,50,50,60,40,40,50,50,50,50
15042,60,50,50,50,60,40,40,50,50,50,50
15043,60,50,50,50,60,40,40,50,50,50,50
15044,60,50,50,50,60,40,40,50,50,50,50
15045,60,50,50,50,60,40,40,40,50,50,50
15046,60,50,50,50,60,40,40,50,50,50,50
15047,60,50,50,50,60,40,40,50,50,50,50
15048,60,50,50,50,60,40,40,50,50,50,50
15049,60,60,50,50,60,40,50,50,50,50,50
15050,60,60,50,50,70,40,50,50,50,50,50
15051,60,60,60,60,70,40,50,50,50,50,50
15052,60,80,70,60,90,40,50,60,50,50,50
15053,60,70,60,60,90,40,50,60,50,50,50
15054,60,70,60,60,90,40,50,50,50,50,50
15055,60,80,60,60,80,40,50,50,50,50,60
15056,60,80,70,60,90,40,50,50,50,50,50
15057,60,80,60,60,80,40,50,50,50,50,50
15058,60,70,60,60,80,40,50,60,50,50,50
15059,60,70,60,60,80,40,50,60,50,50,50
15060,60,70,60,60,80,40,50,60,50,50,60
15061,60,70,60,60,80,50,60,60,60,60,70
15062,60,70,60,60,80,50,60,60,60,60,60
15063,60,70,60,60,80,50,60,60,60,60,60
15064,70,80,70,70,90,50,60,60,60,60,70
15065,60,80,70,60,90,50,60,60,50,50,70
15066,80,80,70,70,90,60,60,60,50,50,70
15067,80,80,70,70,90,60,60,50,50,50,70
15068,90,70,70,80,90,60,60,60,50,50,70
15069,100,80,70,80,90,60,60,60,50,50,70
15070,90,80,70,70,90,60,60,60,70,70,70
15071,100,80,80,80,100,60,60,50,70,70,70
15072,90,80,80,80,90,60,60,70,70,70,70
15073,100,80,80,80,100,60,70,70,70,70,70
15074,90,80,80,80,90,60,70,70,70,70,70
15075,90,80,80,80,90,60,70,60,60,60,70
15076,70,80,70,70,80,60,70,50,70,70,70
15077,80,80,70,70,80,60,70,50,60,60,70
