date,Rate
20200514,0.007743738
20200513,0.007854068
20200512,0.007942672
20200511,0.008034159
20200510,0.008288913
20200509,0.008437345
20200508,0.008553272
20200507,0.008651984
20200506,0.008637189
20200505,0.008656437
20200504,0.008617265
20200503,0.008771415
20200502,0.008921065
20200501,0.009013061
20200430,0.009162742
20200429,0.00915706
20200428,0.009054439
20200427,0.009002243
20200426,0.009097475
20200425,0.009248099
20200424,0.009399078
20200423,0.009471493
20200422,0.009473305
20200421,0.009698601
20200420,0.009421275
20200419,0.00934222
20200418,0.009299108
20200417,0.009169772
20200416,0.008990303
20200415,0.008774694
20200414,0.00833883
20200413,0.007983692
20200412,0.007823533
20200411,0.007656491
20200410,0.007318752
20200409,0.006928945
20200408,0.006583635
20200407,0.006132294
20200406,0.005633996
20200405,0.005425237
20200404,0.005079414
20200403,0.004931817
20200402,0.004522714
20200401,0.004046786
20200331,0.003575816
20200330,0.00314448
20200329,0.002953193
20200328,0.002657438
20200327,0.002420993
20200326,0.002200305
20200325,0.002076235
20200324,0.001930672
20200323,0.001697599
20200322,0.001749617
20200321,0.001491468
20200320,0.001577179
20200319,0.001521029
20200318,0.001497037
20200317,0.001662395
20200316,0.001731112
20200315,0.001976995
20200314,0.002014517
20200313,0.002054308
20200312,0.002878591
20200311,0.003418124
20200310,0.004189312
20200309,0.005451713
20200308,0.006704152
20200307,0.007194245
20200306,0.008716058
20200305,0.009140768
20200304,0.010018785
20200303,0.026565465
20200302,0.039007092
20200301,0.066115702
20200229,0.12195122
20200228,0.444444444
20200227,1
20200226,1
20200225,0
20200224,0
20200223,0
20200222,0
20200221,0
20200220,0
20200219,0
20200218,0
20200217,0
20200216,0
20200215,0
20200214,0
20200213,0
20200212,0
20200211,0
20200210,0
20200209,0
20200208,0
20200207,0
20200206,0
20200205,0
20200204,0
20200203,0
20200202,0
20200201,0
20200131,0
20200130,0
20200129,0
20200128,0
20200127,0
20200126,0
20200125,0
20200124,0
20200123,0
20200122,0
